person_ID,trip_count,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,choice,shop_trip,leis_trip,dist_fac,tt_w,tt_b,tt_c,tc_c,acc_c,acc_time_4,tt_pt,tc_pt,acc_pt,trns_pt,freq_pt,distance_3,tt_ivt_3,tc_c_3,tt_ivt_1,tt_ivt_2,tt_ivt_4,tc_pt_4,wait_4,trns_4,freq_sof,Q1.1,Q1.2,Q1.3,Q1.4,Q1.6,Q1.16.1,Q1.10,Q2.2,hh_income_cat,hh_income,Q2.5_1,Q2.5_2,Q2.5_4,Q2.5_5,Q2.6_1,Q2.6_2,Q2.7,p_income,Q3.7,Q3.8,Q3.9
C434997,27,0,0,1,1,0,0,0,0,3,0,1,40.615,,,43,10.2,6,19.66666667,61,6.1,21,4,15,37.138,29.68333333,8.2,469.6833333,144.2,56,8.2,10.83333333,3,20,27,3,3,4,1,3,1,1,6,11000,2,1,0,0,2,1,3,7000,1,2,2
O845461,26,0,0,1,1,0,0,0,0,3,0,0,23.8015,,,39,6.8,3,16.85,51,7.8,18,3,30,23.256,31.48333333,10.9,244.9333333,69.31666667,42.31666667,4.8,8.266666667,3,30,59,2,11,3,1,3,1,1,7,13000,1,0,0,0,2,1,2,13000,2,1,1
R539799,26,0,0,1,1,0,0,0,0,3,0,1,52.072,,,44,12.1,6,16.05,62,10.9,12,1,40,46.603,35.85,12.1,541.2333333,151.85,68,8.7,3.866666667,2,30,24,3,6,4,1,3,2,1,8,15000,2,0,0,2,2,1,2,4000,1,2,2
G70442,27,0,1,1,1,0,0,0,0,2,0,1,8.2215,,26,12,2.4,6,5.65,14,3.3,5,1,40,7.847,10.93333333,1.6,97.61666667,27.83333333,17,2.9,9,1,30,36,3,3,4,1,3,1,1,8,15000,2,0,0,2,2,1,3,9500,1,1,2
H541540,27,0,0,0,0,1,1,1,1,7,1,0,3.6965,,,,,,4.15,,,,,,3.961,6.666666667,1.3,41.95,10.96666667,8,2.8,2,1,10,51,2,7,5,1,3,1,4,8,15000,1,2,0,4,2,1,2,9500,2,1,1
Z395511,27,1,1,1,1,0,0,0,0,3,0,0,3.69575,45,23,5,1.4,6,4.883333333,5,2.4,4,0,10,3.465,5.15,0.7,47.48333333,23.48333333,6,2.9,0,0,15,18,2,8,4,1,3,1,1,7,13000,3,1,0,5,2,1,2,750,1,2,2
V059186,27,0,1,1,1,0,0,0,0,3,0,1,14.01575,,39,19,4.2,6,45.58333333,31,11.4,16,1,30,13.295,18.63333333,3.5,146.3,38.91666667,26,10,22.66666667,2,30,32,3,7,5,1,3,2,1,3,5000,2,0,1,1,2,1,3,2000,1,2,2
O647749,27,1,1,1,1,0,0,0,0,2,1,0,2.18025,26,6,5,1.5,6,9.566666667,4,1.8,7,0,7,2.234,3.383333333,0.8,25.18333333,6.183333333,2,2,0,0,12,44,3,3,5,1,3,2,1,7,13000,2,0,0,4,2,1,2,4000,1,2,2
H146585,26,0,1,1,1,0,0,0,0,3,0,1,6.9905,,27,13,2.5,6,6.733333333,10,4.1,6,0,20,6.65,13.68333333,1.7,87.38333333,28.61666667,12,3.6,0,0,15,34,3,11,5,1,3,2,1,7,13000,1,0,0,1,2,1,2,7000,2,1,1
H662523,27,0,1,1,1,0,0,0,0,2,0,1,7.389,,23,26,3.9,6,17.81666667,16,3.4,13,0,7,8.93,20.08333333,3.1,78.11666667,23.01666667,16.1,3.4,5.483333333,1,10,38,3,11,4,1,3,1,2,4,7000,1,0,0,5,2,1,3,7000,2,1,1
I97771,27,0,0,1,1,0,0,0,0,3,0,0,31.992,,,29,1,9,11.76666667,27,18.3,11,2,7,36.591,34.88333333,0,358.2833333,108.45,34,17.6,12.31666667,2,9,51,2,3,4,1,2,2,2,9,18000,2,0,0,0,2,1,3,17500,2,1,2
